en,es
It wasn't premeditated.,No fue premeditado.
Tom is thinking about applying for a better-paying job.,Tom está pensando en postular a un trabajo que pague mejor.
We'll talk about that later.,Conversaremos sobre eso después.
I think Tom is devious.,Creo que Tom es astuto.
They've fired him.,Lo despidieron.
She and I usually agree.,Normalmente estamos de acuerdo.
We'll never go back there again.,Nunca vamos a volver allí de nuevo.
I would've waited.,Yo hubiera esperado.
Lend me a hand.,Préstame una mano.
There is nothing in the world that doesn't teach us a good lesson.,No hay nada en el mundo que no pueda enseñarnos alguna buena lección.
I'll be back.,Volveré.
We will take care of this for you.,Nosotros nos encargaremos de esto por usted.
He gets around a lot.,Va a todas partes.
It's great to see you.,¡Qué bueno verte!
"It's cloudy, but not raining.","Está nublado, pero no está lloviendo."
Both you and I are students.,Ambos somos estudiantes.
I'll be there tomorrow.,Estaré allí mañana.
Move over.,Deja sitio.
Tom and Mary speak to each other in English.,Tom y Mary hablan entre ellos en inglés.
The soldier took shelter in the foxhole.,El soldado se refugió en la trinchera.
You are so stupid.,Sos muy estúpido.
One plus two equals three.,Uno más dos es igual a tres.
Tom was one of the lucky ones.,Tom fue uno de los afortunados.
Tom helped Mary yesterday afternoon.,Tom ayudó a Mary ayer por la tarde.
Tom can't drive a bus.,Tom no puede conducir un bus.
She prefers quiet music.,Ella prefiere la música tranquila.
I'm poor.,Soy pobre.
"Few people realize it, but it's true.","Pocos se dan cuenta, pero es verdad."
Tom doesn't give advice lightly.,Tom no da consejos a la ligera.
Tom used to go to school with Mary.,Tom solía ir a la escuela con Mary.
Do you mind if I open the window?,¿Te molesta si abro la ventana un poco?
Tom came back to Boston last year.,Tom volvió a Boston el año pasado.
Did you go to Cairo or Alexandria?,¿Fuiste a El Cairo o a Alejandría?
China is much larger than Japan.,China es mucho más grande que Japón.
I saw a stranger standing at the door.,Vi a un extraño parado en la puerta.
It was far from certain.,Distaba mucho de ser cierto.
Tom is due back Monday.,Tom debería regresar el lunes.
She does not want to be dependent on her parents.,Ella no quiere ser dependiente de sus padres.
My husband is out of work and looking for a job.,Mi esposo está desempleado y busca trabajo.
I waited for ten minutes.,Esperé por diez minutos.
I'm a twin.,Soy gemelo.
I'm a perfectionist.,Soy un perfeccionista.
Do you know any Greek myths?,¿Conoces algunos mitos griegos?
I'm carrying a knife in my pack.,Llevo un cuchillo en mi mochila.
He entered the room after you left.,Él entró a la sala después de que tú te fuiste.
Tom has a whole pile of unpaid parking tickets.,Tom tiene una pila entera de boletas de estacionamiento sin pagar.
Why don't you want to eat lunch with us?,¿Por qué no quieres almorzar con nosotros?
"For all his wealth, he is unhappy.","A pesar de su opulencia, es infeliz."
One mouse is running around in the room.,Un ratón está corriendo por el cuarto.
I think that he wants to succeed.,Creo que quiere triunfar.
I've heard that from a lot of people.,He oído eso de mucha gente.
She must have been very young when she wrote this poem.,Ella debía de ser muy joven cuando escribió este poema.
He runs very fast.,Corre muy rápido.
Tom made it quite clear what he expected us to do.,Tom dejó claro lo que esperaba que nosotros hiciéramos.
I'm friends with him.,Él y yo somos amigos.
Tom walked out of the bar with a smile on his face.,Tom salió del bar con una sonrisa en su rostro.
I haven't read either of his novels.,No he leído ninguna de sus novelas.
I am in trouble.,Estoy en problemas.
The kids are in bed.,Los niños están en la cama.
The police could arrest you for that.,La policía podría arrestarte por eso.
I know it's not as easy as it looks.,Sé que no es tan fácil como parece.
It was crowded here all last week.,Toda la semana pasada estuvo abarrotado aquí.
We wish you a pleasant journey.,Le deseamos un viaje placentero.
How much does this book cost?,¿Cuánto cuesta este libro?
Where are we going next?,¿Dónde vamos después?
A chain is no stronger than its weakest link.,Una cadena es tan fuerte como el más débil de sus eslabones.
Such a problem is hard to deal with.,Un problema tal es difícil de tratar.
My friend said he had bought a new watch.,Mi amiga ha dicho que compró un reloj nuevo.
This key doesn't fit in the lock.,Esta llave no entra en la cerradura.
I would like the least expensive one.,Querría el más barato.
The old farmer did not pay him much money.,El viejo granjero no le pagaba mucho.
There is a TV in this room.,Hay un televisor en esta habitación.
When did Tom leave Boston?,¿Cuándo dejó Boston Tom?
Give Tom a drink.,Dale una bebida a Tom.
We were younger then.,Nosotros éramos más jóvenes entonces.
I like playing baseball.,Me gusta jugar al béisbol.
He banged his head.,Él se golpeó su cabeza.
Let's go Dutch.,Cada uno pagará lo suyo.
I should be there by 2:30.,Debería estar allí para las dos y media.
The people fear war.,La gente le teme a la guerra.
I want to confess.,Quiero confesar.
It was not until the sun had set that the child came home.,No fue hasta que se puso el sol que el niño volvió a casa.
I don't know what it's like yet.,Todavía no sé cómo es.
Tom couldn't believe what Mary said.,Tom no podía creer lo que decía Mary.
You're not needed here.,No haces falta aquí.
You'll be sorry for this.,Se arrepentirá usted de esto.
We love you.,Te queremos.
The cows were moving very slowly through the long green grass.,Las vacas se movían muy lentamente a través del largo pasto verde.
Everyone knows Tom is lying.,Todos saben que Tom está mintiendo.
Mary can dance well.,Mary baila bien.
He was made captain.,Lo nombraron capitán.
I think you went too far.,Creo que has ido demasiado lejos.
He looked left and right.,Miró a izquierda y derecha.
I resent that.,Yo me ofendo por eso.
She heard him sing his favorite song.,Ella le oyó cantar su canción favorita.
I'll make some coffee.,Voy a hacer un poco de café.
I want to try.,Quiero intentarlo.
Pizza is the kind of food that fits into today's life style.,La pizza es el tipo de comida que va con el estilo de vida de hoy.
What's your favorite love song?,¿Cuál es tu canción de amor favorita?
Tom couldn't stop thinking about Mary.,Tom no podía dejar de pensar en Mary.
Life is like a soap bubble.,La vida es como una burbuja de jabón.
I'd like to go to the seaside with you.,Me gustaría ir al mar contigo.
I speak three languages.,Hablo tres idiomas.
Don't waste your money.,No malgaste su dinero.
He has an interesting book.,Él tiene un libro interesante.
Tom isn't interested in politics at all.,A Tom no le interesa para nada la política.
It snowed a good deal last night.,Anoche cayó una gran nevada.
We sat in the center of the room.,Nos sentamos en el centro de la habitación.
They have just arrived.,Ellos acaban de llegar.
I thought it was a good idea.,Pensé que era una buena idea.
Churches are designated on the map with crosses.,Las iglesias están marcadas en el mapa con una cruz.
We ascribe his success to hard work.,Atribuimos su éxito a su incansable trabajo.
She believes whatever he says.,Ella cree todo lo que él dice.
The doctor advised him to ease up on alcohol.,El doctor le aconsejó que se controlara con el alcohol.
"If we hurry, we'll make it.","Si nos damos prisa, lo lograremos."
